TrialIndex,Participant,Type,Length,SelectC,RT,PresenPos
289,2,O,120,1,944,cs
290,2,O,80,0,1070,sc
291,2,O,140,1,959,cs
292,2,I,110,1,1618,cs
293,2,O,140,1,939,sc
294,2,I,100,0,831,cs
295,2,I,70,0,1112,sc
296,2,I,120,1,743,sc
297,2,O,110,0,1110,sc
298,2,I,130,1,631,cs
299,2,O,70,0,775,sc
300,2,I,120,1,1238,cs
301,2,I,130,1,639,cs
302,2,I,140,1,771,sc
303,2,O,60,0,618,cs
304,2,I,70,0,552,sc
305,2,I,80,0,911,sc
306,2,O,120,1,1205,cs
307,2,O,130,1,1271,cs
308,2,I,80,0,903,cs
309,2,O,60,0,1317,sc
310,2,I,130,1,1039,sc
311,2,I,150,1,610,sc
312,2,O,80,0,1126,sc
313,2,O,140,1,1125,sc
314,2,O,90,0,887,sc
315,2,O,90,0,704,cs
316,2,I,100,1,1406,sc
317,2,I,110,1,662,sc
318,2,I,90,1,1078,cs
319,2,O,70,0,557,cs
320,2,O,150,1,731,sc
321,2,I,70,0,891,sc
322,2,I,60,0,792,sc
323,2,O,100,0,742,cs
324,2,I,140,1,656,cs
325,2,O,70,0,686,sc
326,2,I,90,0,800,cs
327,2,O,50,0,591,cs
328,2,O,140,1,1134,sc
329,2,I,110,1,1240,sc
330,2,O,130,1,1753,sc
331,2,I,130,1,1820,sc
332,2,O,130,1,1567,sc
333,2,I,50,0,589,sc
334,2,O,70,0,558,cs
335,2,I,130,1,598,sc
336,2,I,120,1,832,cs
337,2,I,80,0,1119,sc
338,2,I,60,0,423,sc
339,2,O,140,1,953,cs
340,2,O,130,1,1845,cs
341,2,O,100,0,1286,sc
342,2,O,70,0,1246,cs
343,2,O,100,0,1015,cs
344,2,I,130,1,903,sc
345,2,I,50,0,782,sc
346,2,I,70,0,639,cs
347,2,O,100,0,1713,cs
348,2,I,100,1,1308,sc
349,2,I,80,0,1007,cs
350,2,O,100,0,975,sc
351,2,O,120,1,1246,cs
352,2,I,150,1,608,sc
353,3,I,120,1,1216,sc
354,3,I,50,0,1188,cs
355,3,O,60,0,678,sc
356,3,I,130,1,646,sc
357,3,I,50,0,735,sc
358,3,O,100,0,573,cs
359,3,O,70,0,540,sc
360,3,O,80,0,583,cs
361,3,O,140,1,1061,cs
362,3,O,140,1,1076,cs
363,3,O,90,0,725,sc
364,3,O,70,0,557,sc
365,3,O,70,0,494,sc
366,3,O,50,0,670,sc
367,3,I,130,0,565,cs
368,3,I,140,1,1317,cs
369,3,I,130,1,877,sc
370,3,O,150,1,622,sc
371,3,I,80,1,1550,cs
372,3,O,150,1,670,cs
373,3,O,130,1,742,sc
374,3,O,110,0,1533,cs
375,3,I,70,1,1453,cs
376,3,O,110,0,699,sc
